"PSRJ","Mode","W10"
"J1821-1432","Xs","10"
"J1822+0705","Xd?","12"
"J1823-3106","Xs","4"
"J1824-0127","Od?","63"
"J1824-1118","Xs","7"
"J1824-1423","Os","7"
"J1825+0004","OXO?","12"
"J1825-0935","Xs","6"
"J1825-1446","Xs","7"
"J1826-1131","Od","17"
"J1826-1334","Os","7"
"J1827-0750","Xs","7"
"J1827-0934","Xd?","11"
"J1828+1359","Os","9"
"J1829-1751","OXO","9"
"J1830-1059","Xs","2"
"J1831-0823","Od","11"
"J1831-0952","Od","12"
"J1832-0827","(O)Xs(O)","2"
"J1832-1021","Xs","5"
"J1833-0338","Xs","2"
"J1833-0827","XOX","6"
"J1834-0031","Xd","4"
"J1834-0426","OXO","54"
"J1834-0731","Xs?","21"
"J1834-1202","Od","31"
"J1835-0349","Os","6"
"J1835-0944","Os?","7"
"J1835-1020","Xs","4"
"J1835-1106","Xs","4"
"J1836-0436","Os","7"
"J1836-1008","Xs","5"
"J1837+1221","Od","11"
"J1837-0045","Xs","4"
"J1837-0653","Od","17"
"J1837-1837","Xs","6"
"J1838+1523","Od","13"
"J1838+1650","Od","17"
"J1839-0905","Xd","10"
"J1839-1238","Os","8"
"J1840+0214","Os","4"
"J1840-0809","Od","12"
"J1840-0815","Xs","8"
"J1840-1122","Od?","4"
"J1840-1207","Xs","6"
"J1841+0912","Xs","6"
"J1841-0157","Os","10"
"J1841-0345","Os","10"
"J1841-0425","Xs","4"
"J1841-0524","Xs","9"
"J1842+0257","Os","12"
"J1842+0358","Os","3"
"J1842+0638","Od","9"
"J1842-0153","Xs","9"
"J1842-0359","Xd?","81"
"J1843-0000","XOX?","10"
"J1843-0211","Od","20"
"J1843-0806","Od","11"
"J1844+1454","Od?","7"
"J1844-0030","Os","6"
"J1844-0538","Xs","6"
"J1845+0623","Os","8"
"J1845-0434","Os?","8"
"J1845-0545","Os","6"
"J1845-0743","OXO?","10"
"J1845-1114","Xs","3"
"J1846+0051","Xs","7"
"J1846-0749","Os","4"
"J1846-07492","OX(O)?","7"
"J1847-0402","Xd?","10"
"J1847-0438","Xs","4"
"J1848+0604","Os","9"
"J1848+1516","OXO?","54"
"J1848-1150","Od","11"
"J1849+0409","Xs","4"
"J1849+2423","Os","11"
"J1849-0317","Xd","10"
"J1849-0614","Xs","6"
"J1850+0026","Od","29"
"J1850+0423","Xd?","16"
"J1850+1335","Xs","4"
"J1851+1259","Xs","4"
"J1851-0053","Xs","5"
"J1852-0635","OXO?","51"
"J1852-2610","OXO","14"
"J1854-1421","OXO?","9"
"J1855+0307","Xs","6"
"J1855+0527","Xs","14"
"J1856+0245","Os","23"
"J1856-0526","Od","18"
"J1857+0057","Os","13"
"J1857+0212","Od?","9"
"J1857+0526","Xs?","5"
"J1859+1526","Xd?","10"
"J1900+0634","Xd?","4"
"J1900-0933","Od?","48"
"J1900-2600","OXO","25"
"J1900-7951","Xd?","9"
"J1901+0124","Xs","5"
"J1901+0156","OXO?","10"
"J1901+0234","Os","8"
"J1901+0331","Xs?","4"
"J1901+0716","Xd","8"
"J1901-0312","Xs?","4"
"J1901-0906","OX(O)","11"
"J1902+0556","Xs","6"
"J1902+0615","Xs","2"
"J1903+0135","Xs","3"
"J1903-0632","Os?","5"
"J1903-0848","Os?","5"
"J1904+0004","Xs","7"
"J1904+1011","Od?","41"
"J1904-1224","Os?","9"
"J1905+0616","Xs","4"
"J1905+0709","Os","18"
"J1906+0641","Od","12"
"J1906+0649","Xs","12"
"J1907+0345","Xs","3"
"J1907+0631","Xs","10"
"J1907+0740","Os?Xs?","6"
"J1907+0859","Od?","10"
"J1907+0918","Xs","1"
"J1907+1149","Xs","4"
"J1907-1532","XOX?","13"
"J1908+0500","Xs","2"
"J1908+0916","Xs","9"
"J1909+0007","Xs","2"
"J1909+0254","Xs?","3"
"J1909+1102","Os","4"
"J1909+1859","Xs","6"
"J1910+0358","Xd?","107"
"J1910+0714","Xs","3"
"J1910+0728","Xd","10"
"J1910+1231","Os","5"
"J1910-0309","Xs?","4"
"J1912+1036","Xs","8"
"J1912+2104","Od","21"
"J1913+0936","Od","11"
"J1913+1400","Xs?","4"
"J1913-0440","Os?","4"
"J1914+0219","Xd","8"
"J1914+1122","Od","10"
"J1915+0227","XO?","14"
"J1915+0738","Os","4"
"J1915+0752","Xs","9"
"J1915+1009","Xs","4"
"J1915+1606","OX(O)","9"
"J1915+1647","Os","11"
"J1916+0951","Od","7"
"J1916+1312","Os","4"
"J1916-2939","Od?","12"
"J1917+0834","Od","11"
"J1917+1353","Xs","4"
"J1918+1444","Xs","3"
"J1918+1541","Xs","5"
"J1918-1052","Os","6"
"J1919+0021","Os?Xs?","10"
"J1919+0134","Od","14"
"J1919+1745","Xd","16"
"J1920-0950","Xd?","16"
"J1921+0812","Xs","2"
"J1921+1419","Os","10"
"J1921+1948","XOX?","36"
"J1921+2003","Od?","15"
"J1921+2153","Od","10"
"J1922+1733","Xd","5"
"J1923+1706","Xd?","10"
"J1924+1631","Xs?","9"
"J1926+0431","Os?","6"
"J1926+1434","Od?","41"
"J1926+1648","Xs","5"
"J1926+2016","Xs","5"
"J1926-0652","Od?","57"
"J1927+0911","Xs?","2"
"J1927+1852","Od","10"
"J1927+2234","Od","17"
"J1928+1443","Xs","16"
"J1928+1746","Od","11"
"J1928+1923","Xs","12"
"J1929+1955","Xs","6"
"J1929+2121","Os","3"
"J1930+1316","Xs","3"
"J1931+1439","Od","19"
"J1931+1536","Od?","12"
"J1932+1059","Xs","6"
"J1932+1500","Od","14"
"J1932+2220","Xs","2"
"J1932-3655","Xs?","3"
"J1933+1304","Od?","10"
"J1935+1159","Od?","53"
"J1935+1616","Xs?","4"
"J1935+1745","Xs?","5"
"J1935+2025","Os","2"
"J1936+1536","Os","7"
"J1938+0650","Xs","3"
"J1938+2213","Os","5"
"J1940+2245","Xs?","9"
"J1940+2337","Xs","6"
"J1941+0121","Os","15"
"J1941+1026","Xs","3"
"J1941+1341","Xs?","9"
"J1941-2602","Xd","6"
"J1943+0609","Od","11"
"J1943-1237","Xs","4"
"J1944+1755","Od","51"
"J1945-0040","Od","19"
"J1946+1805","Os","17"
"J1946+2244","Os?Xs?","6"
"J1946-1312","Xs?","6"
"J1946-2913","Od?","14"
"J1947+0915","Os","10"
"J1949-2524","Os","6"
"J1951+1123","Os?Xs?","5"
"J1952+1410","Xs","4"
"J1956+0838","Xs","8"
"J2005-0020","Od","12"
"J2006-0807","OXO","34"
"J2007+0910","Os","4"
"J2017+2043","(O)XO?","8"
"J2037+1942","OXO","12"
"J2038-3816","Os","9"
"J2043+2740","Os","4"
"J2045+0912","Od","13"
"J2046+1540","Xd","15"
"J2046-0421","Os","6"
"J2048-1616","Od","20"
"J2053-7200","Od","16"
"J2108-3429","Os","6"
"J2111+2106","Os","10"
"J2116+1414","Os","5"
"J2124+1407","Od","12"
"J2136-1606","Os","9"
"J2139+2242","Os","12"
"J2154-2812","Xs","2"
"J2155-3118","Os","7"
"J2215+1538","Os?Xs?","4"
"J2234+2114","Os?","29"
"J2248-0101","Xs","4"
"J2253+1516","Od","18"
"J2317+2149","Os","7"
"J2324-6054","Od?","12"
"J2330-2005","Od","9"
"J2346-0609","Od","16"
"","",""
